range [25137,27202] : 104177726
range [32849,65434] : 637219979
range [47494,61136] : 684053732
range [80153,84034] : 195355967
range [87892,88013] : 6560076
range [27406,35701] : 416720164
range [51894,52330] : 22541862
range [16566,34338] : 888915862
range [33330,80050] : 347881762
range [21053,68101] : 360958159
range [53356,75833] : 127705854
range [10057,74456] : 231540240
range [14885,26549] : 582651918
range [34458,59744] : 268305760
range [18448,53781] : 771716036
range [77615,80697] : 156850087
range [214,83751] : 191576603
range [41423,83819] : 130712307
range [61941,67018] : 256456310
range [9772,54129] : 224032665
range [34496,54660] : 13441336
range [11777,50361] : 932818056
range [62119,62951] : 42026263
range [2271,38901] : 833073243
range [34509,63537] : 457347774
range [79990,88963] : 452038273
range [38590,87243] : 447196329
range [83231,88691] : 274483205
range [43834,51760] : 394904451
range [73403,80587] : 363033216
range [42996,60777] : 890914403
range [27846,45765] : 901509527
range [85066,88552] : 176013514
range [43846,71086] : 368287293
range [49882,88093] : 922461550
range [39790,67417] : 387552774
range [86059,86702] : 31468331
range [47879,67502] : 987152418
range [69544,86561] : 857685960
range [24796,58443] : 687720561
range [54936,59869] : 245412833
range [83002,85637] : 132585971
range [79893,81605] : 88220478
range [41679,48293] : 329938171
range [35772,82576] : 353594836
range [68894,83476] : 735558288
range [33118,61697] : 434470761
range [72702,82447] : 492019999
range [76724,83505] : 343430948
range [52929,74480] : 83600142
range [43889,57811] : 695555800
range [53403,87646] : 721214132
range [21322,37198] : 794376757
range [17241,40919] : 186294590
range [5048,72323] : 376250567
range [18029,37526] : 974416889
range [81867,85311] : 171150256
range [18004,51660] : 685220038
range [41701,65111] : 174735707
range [20814,82426] : 95718871
range [69521,83621] : 710535351
range [73587,86379] : 645301388
range [535,2147] : 81547656
range [34985,37461] : 123298197
range [47003,79518] : 635209369
range [22047,54882] : 649325741
range [86947,88579] : 81372948
range [86563,88229] : 82607904
range [16825,77793] : 58700871
range [84405,88354] : 197920276
range [7983,11951] : 199929233
range [43265,51146] : 393097591
range [20218,45629] : 275179375
range [69954,70699] : 38810021
range [55075,72630] : 882073070
range [82677,82909] : 11325673
range [77477,80873] : 172429917
range [31101,57446] : 321128926
range [2822,73295] : 534512415
range [63132,68685] : 278700034
range [17466,84669] : 372906094
range [21077,76315] : 771352871
range [79910,88745] : 445438693
range [71630,78518] : 345833319
range [52248,66624] : 723231055
range [25330,45631] : 21630937
range [84648,86596] : 98745080
range [9261,26574] : 865602494
range [63869,65785] : 96723079
range [11143,67411] : 824002299
range [77430,83778] : 320124272
range [73872,75571] : 84352205
range [55542,78054] : 131420258
range [15732,48535] : 642391858
range [12281,83070] : 555318677
range [5828,74352] : 437968637
range [12275,33698] : 73598928
range [38417,83976] : 291394849
range [33519,38007] : 224166051
range [82912,88571] : 283606171
range [53679,67375] : 688812413
range [65320,76428] : 556931796
range [21880,35012] : 658437429
range [5975,49715] : 192279141
range [10879,34442] : 179664957
range [3642,64659] : 59246514
range [5115,40918] : 795053088
range [23185,29668] : 328785831
range [55783,77990] : 116614505
range [86980,89002] : 101464377
range [16527,52773] : 816285239
range [77333,85094] : 390040301
range [67742,73780] : 302103940
range [32768,62622] : 500544137
range [26288,36820] : 527704914
range [15526,45686] : 513156544
range [22878,46923] : 206482709
range [84278,86144] : 96069310
range [80744,85087] : 216477618
range [35695,40822] : 257342985
range [8754,72330] : 191261026
range [26918,56234] : 472458403
range [37197,43750] : 332125324
range [30246,62338] : 609350401
range [86146,86355] : 10043211
range [47786,66948] : 963648421
range [39447,49162] : 487023220
range [28446,80879] : 633610298
range [56343,72077] : 792924961
range [80731,80988] : 12319637
range [36611,83911] : 377638447
range [6259,28220] : 101946524
range [4177,56053] : 600490393
range [9786,43011] : 666170608
range [60927,64049] : 156434517
range [43044,83357] : 25583948
range [8837,76650] : 402132758
range [39665,61333] : 86476768
range [65681,81422] : 793598410
range [17700,75151] : 882272858
range [22074,57164] : 760847743
range [15309,84233] : 459879164
range [22776,70930] : 419951115
range [5727,15906] : 510118813
range [22437,26723] : 214381945
range [23648,34760] : 557929114
range [76110,80714] : 234630969
range [88991,89154] : 8032728
range [43864,61344] : 875141012
range [19538,60770] : 66559669
range [48364,61329] : 651615466
range [42678,73976] : 571041336
range [6583,60210] : 688547676
range [10159,45916] : 794757417
range [78751,84442] : 287783367
range [55358,72944] : 884430495
range [66351,79582] : 666048652
range [43758,63977] : 12730683
range [1604,16263] : 733386422
range [51344,87221] : 804980260
range [29520,72139] : 139672704
range [33635,72834] : 969721437
range [86808,87831] : 50530368
range [50344,68893] : 932385579
range [27625,63904] : 820475832
range [51673,52626] : 49040172
range [17669,64127] : 327959193
range [1722,56664] : 751725501
range [3437,27430] : 200469619
range [56583,64779] : 412546000
range [65959,88183] : 117074751
range [88659,88679] : 1243428
range [79753,85214] : 274083563
range [39765,80525] : 48594675
range [24911,67607] : 146176371
range [84328,87455] : 157146497
range [71843,77960] : 306469736
range [52922,53135] : 10947097
range [65913,76195] : 515848651
range [88650,89271] : 30967607
range [746,77738] : 862068063
range [88209,89234] : 52132602
range [25934,89119] : 175759171
range [62191,81572] : 977690159
range [89350,89360] : 386719
range [38885,70105] : 569499934
range [67555,85218] : 887339287
range [13610,19607] : 300784009
range [29701,73433] : 194636103
range [79690,86709] : 352978248
range [64245,89006] : 247295281
range [70527,74525] : 200542605
range [5750,77285] : 589521935
range [46240,60324] : 704879260
range [33330,65421] : 611866023
range [40669,80052] : 979382336
range [54407,63493] : 455733593
range [13575,72073] : 936092027
range [14400,29978] : 782010133
range [27273,71418] : 218256664
range [47147,85594] : 933993236
range [66712,67666] : 48314841
range [22973,71273] : 427205189
range [74470,75490] : 50085519
range [12363,47933] : 783584322
range [24502,46290] : 95164124
range [70841,78717] : 393816732
range [73949,74862] : 46270978
range [45085,82979] : 904194945
range [9390,37421] : 403175071
range [83487,84426] : 47384711
range [77827,82317] : 228352221
range [70995,83581] : 631845445
range [54766,55182] : 20728215
range [87445,89293] : 92556535
range [8979,10164] : 59808698
range [59680,61813] : 109238005
range [51590,75053] : 180593793
range [41662,89022] : 379822393
range [425,10617] : 509626090
range [1901,38790] : 846140961
range [18860,54029] : 763954170
range [15003,18444] : 173363642
range [25734,72288] : 340021823
range [21510,41690] : 11935718
range [15795,71686] : 805041047
range [79692,80184] : 24501547
range [28536,85938] : 884655378
range [45550,50969] : 269033892
range [78186,79827] : 83426446
range [65284,88392] : 161558799
range [11683,29928] : 915074053
range [56767,83534] : 347684090
range [39443,72501] : 661484822
range [79816,84796] : 249701344
range [55108,81996] : 354141285
range [13309,88550] : 776507906
range [5677,82626] : 863200811
range [12055,42403] : 521719408
range [11850,30569] : 938857272
range [62941,72158] : 465281264
range [9249,38344] : 456213041
range [84099,85442] : 67083774
range [58421,79331] : 54349267
range [68242,80530] : 620629454
range [602,87400] : 355550870
range [44506,71245] : 342961112
range [79543,84083] : 227867696
range [44281,79631] : 775128600
range [14579,46961] : 623259041
range [76210,86584] : 524096992
range [71093,84511] : 674190427
range [56723,58476] : 87226006
range [70534,87507] : 852609426
range [3097,73107] : 511714267
range [9048,46845] : 895210892
range [68170,86182] : 907920969
range [7603,14401] : 341381920
range [80422,82372] : 99029927
range [3429,34127] : 537657299
range [79910,87284] : 371260840
range [27607,81502] : 709190197
range [41521,88447] : 357380768
range [33298,51987] : 937095409
range [14393,63647] : 470909241
range [61375,64413] : 152599552
range [12932,62480] : 484946151
range [8429,60969] : 634823769
range [23148,23155] : 378223
range [57528,75912] : 923499154
range [86261,88072] : 89731163
range [28004,72187] : 219927176
range [23898,25330] : 71209855
range [85033,88728] : 187202487
range [4076,58310] : 715989669
range [72814,84806] : 601975650
range [67485,77146] : 483729558
range [26844,61675] : 748721086
range [54600,82097] : 385201525
range [47953,88850] : 56471336
range [60023,85314] : 273119778
range [60227,74337] : 710301219
range [26274,64337] : 910348904
range [54517,57507] : 149652541
range [62591,70813] : 415321361
range [25875,45377] : 981157642
range [40249,79576] : 976313021
range [13841,83372] : 490434001
range [86360,87902] : 76020253
range [52238,68217] : 803338781
range [24756,55719] : 555002138
range [22850,57897] : 757594615
range [13190,40385] : 362091707
range [38798,47298] : 427157717
range [82689,88492] : 289869216
range [20266,80748] : 37451075
range [2558,59094] : 832135979
range [18181,24820] : 329697028
range [72602,76028] : 170421506
range [7466,56884] : 478812569
range [47034,87549] : 36857729
range [24544,81422] : 859807926
range [40086,54407] : 718499936
range [28930,40996] : 604536249
range [37637,58377] : 40434955
range [28757,79697] : 558503520
range [15914,37357] : 73275842
range [58542,70753] : 616719251
range [16519,62136] : 286901048
range [7062,74961] : 408563684
range [3260,49379] : 309931104
range [6790,16297] : 478055451
range [35232,69823] : 738298892
range [48655,53775] : 258963152
range [8680,39820] : 562530912
range [76070,80140] : 206577202
range [40641,69732] : 461751084
range [72954,85347] : 621897037
range [12602,41308] : 439628659
range [15472,46925] : 576266371
range [2528,48826] : 318784248
range [22910,28976] : 307001313
range [50685,70083] : 977342459
range [55008,66251] : 564038615
range [85447,87470] : 102658818
range [53427,63111] : 485779438
range [41110,78025] : 853598909
range [32704,84079] : 582425996
range [53708,83155] : 481263435
range [16251,37381] : 57381408
range [21388,73888] : 634682541
range [84938,85178] : 12408666
range [768,11513] : 537496099
range [22877,61451] : 936358841
range [38207,46296] : 408687842
range [18458,61553] : 160346690
range [14846,81598] : 353082186
range [37441,38179] : 36625686
range [28850,48496] : 982981886
range [7168,72509] : 280263030
range [13966,24183] : 510697859
range [19401,62031] : 137658000
range [20187,77736] : 888433932
range [86207,87938] : 84904247
range [62078,76998] : 748977965
range [48083,85730] : 893909116
range [65609,69846] : 213358620
range [15609,47645] : 605838503
range [60967,63537] : 129100489
range [76227,87657] : 576058215
range [35594,73730] : 915074204
range [78936,82101] : 162260970
range [61849,69748] : 396780163
range [31293,60340] : 456111152
range [3676,38923] : 764812086
range [32484,51699] : 964095758
range [70750,89233] : 927816276
range [27924,58185] : 516780267
range [18186,85551] : 381435774
range [63783,79576] : 794930028
range [2679,79689] : 864421825
range [79585,88434] : 444085659
range [46336,53420] : 354993502
range [86330,89189] : 142324572
range [30930,77516] : 337912777
range [48048,55310] : 365700545
range [50845,81682] : 553176756
range [9617,42652] : 656626427
range [3298,83059] : 2909817
range [83978,88108] : 207438970
range [69198,75758] : 328395419
range [85312,85620] : 16750973
range [55613,71925] : 821887693
range [53829,61613] : 390001348
range [2024,36044] : 703434403
range [86320,86602] : 13230930
range [12558,44417] : 598896505
range [13860,32077] : 911075305
range [1916,43522] : 84971296
range [42759,55195] : 623830738
range [43029,79047] : 808754481
range [86331,88572] : 111016102
range [165,83094] : 161711214
range [52849,75092] : 118525746
range [7993,81587] : 696823923
range [68454,78804] : 521261836
range [32179,78320] : 318424311
range [53319,74125] : 45465560
range [55339,80003] : 239961607
range [47471,88804] : 78012997
range [86954,89290] : 116465993
range [66251,81685] : 777913678
range [19690,53352] : 688625202
range [73804,81756] : 402429133
range [84786,85079] : 14362917
range [6624,52811] : 316211670
range [41676,48568] : 344036161
range [21227,44506] : 168627385
range [45398,66599] : 63618036
range [14295,17741] : 174816935
range [85638,87119] : 74067572
range [13227,50515] : 868173868
range [25563,72548] : 361390559
range [73973,85180] : 563436855
range [56758,73491] : 842565913
range [11584,36360] : 241878546
range [77735,82284] : 231067748
range [28795,80548] : 601106656
range [87087,88752] : 83636642
range [62531,74677] : 611233585
range [48576,49961] : 69673198
range [74308,78874] : 229867171
range [60219,74288] : 708291064
range [6780,64111] : 876048846
range [18905,33903] : 751583640
range [71210,89008] : 893521944
range [23152,55318] : 616655675
range [52055,84457] : 630684406
range [79497,84690] : 260318243
range [64635,84058] : 976574896
range [48145,52402] : 214046196
range [86602,87804] : 59876688
